,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
375,Broome,20,GB,1561223119,48,52.47,1.45,69.8,12.75
376,Porto Walter,98,BR,1561223120,40,-8.27,-72.74,89.31,3.78
377,Vanimo,59,PG,1561223121,79,-2.67,141.3,80.67,5.55
378,Kumbo,49,CM,1561223122,94,6.21,10.69,64.83,3.87
379,Olinda,98,EC,1561223123,83,-2.03,-79.75,81.0,1.9
380,Pitimbu,75,BR,1561223124,69,-7.47,-34.81,82.4,18.34
381,Camacha,40,PT,1561223125,73,33.08,-16.33,75.2,12.75
382,Yining,100,CN,1561223127,98,29.04,114.56,67.71,2.33
383,Chongwe,71,ZM,1561223128,72,-15.33,28.68,55.83,2.82
384,Pitea,100,SE,1561223129,93,65.32,21.48,60.01,23.04
385,Kutum,77,SD,1561223130,18,14.2,24.66,90.03,16.51
386,Coquimbo,0,CL,1561223131,59,-29.95,-71.34,77.0,3.36
387,Dharchula,34,IN,1561223132,77,29.85,80.53,53.49,2.75
388,Partizansk,50,RU,1561223134,99,43.13,133.13,51.15,3.27
389,Rio Gallegos,0,AR,1561223135,93,-51.62,-69.22,37.4,13.87
390,Nemuro,100,JP,1561223136,96,43.32,145.57,50.61,8.43
391,Plouzane,0,FR,1561223137,43,48.38,-4.62,73.4,12.75
392,Kutina,20,HR,1561223138,93,45.48,16.78,66.2,9.17
393,Comodoro Rivadavia,20,AR,1561223139,38,-45.87,-67.48,59.0,23.04
394,Deputatskiy,42,RU,1561223140,60,69.3,139.9,58.53,4.16
395,Aracati,1,BR,1561223141,48,-4.56,-37.77,87.15,7.2
396,Chernyshevskiy,20,RU,1561223143,51,63.01,112.47,48.99,3.11
397,Springbok,33,ZA,1561223144,79,-29.67,17.88,51.51,9.31
398,Straumen,75,NO,1561223145,62,63.87,11.3,57.2,19.46
399,Hofn,99,IS,1561223146,87,64.25,-15.21,39.27,5.79
400,Coihaique,75,CL,1561223147,76,-45.58,-72.07,48.2,4.7
401,Narasannapeta,67,IN,1561223148,81,18.42,84.04,80.31,0.49
402,Umm Kaddadah,55,SD,1561223149,20,13.6,26.69,99.03,7.27
403,Fort Nelson,75,CA,1561223150,87,58.81,-122.69,53.6,4.7
404,Guiyang,90,CN,1561223152,94,26.58,106.71,71.6,6.71
405,Maunabo,40,PR,1561223153,74,18.01,-65.9,91.0,11.41
406,Hanzhong,2,CN,1561223154,74,33.08,107.03,63.75,2.26
407,Lethem,54,GY,1561223155,53,3.38,-59.8,90.21,9.57
408,Cockburn Town,37,TC,1561223156,84,21.46,-71.14,80.67,11.61
409,Zhangjiakou,76,CN,1561223157,50,40.77,114.88,64.65,2.57
410,Dunedin,82,NZ,1561223159,95,-45.87,170.5,41.0,4.0
411,Jalu,0,LY,1561222908,17,29.03,21.55,89.49,4.09
412,Lalmohan,43,BD,1561223161,80,22.34,90.74,84.27,8.79
413,Boende,37,CD,1561223162,73,-0.28,20.88,76.71,1.48
414,Kitimat,75,CA,1561223163,87,54.02,-128.69,55.4,13.87
415,Port Blair,63,IN,1561223017,83,11.67,92.75,83.55,11.34
416,Karlskrona,0,SE,1561223165,45,56.16,15.59,68.0,9.17
417,Lima,90,PE,1561222923,82,-12.06,-77.04,62.6,3.36
418,Saint-Louis,75,CH,1561223168,77,47.59,7.56,72.0,5.82
419,Tilichiki,100,RU,1561223169,82,60.47,166.1,46.47,1.99
420,Touros,75,BR,1561223170,58,-5.2,-35.46,86.0,14.99
421,Luanda,0,AO,1561223171,83,-8.83,13.24,73.29,12.37
422,Svecha,100,RU,1561223172,92,58.28,47.52,66.63,6.71
423,Maragogi,28,BR,1561223129,72,-9.01,-35.22,80.13,8.05
424,Fort Frances,75,CA,1561223175,43,48.61,-93.4,73.4,11.41
425,Bakhmach,40,UA,1561223176,63,51.18,32.81,74.55,2.91
426,Mehamn,0,NO,1561223177,53,71.03,27.85,50.0,8.05
427,Morant Bay,20,JM,1561223178,59,17.88,-76.41,89.6,25.28
428,Kahului,40,US,1561223179,78,20.89,-156.47,75.2,5.82
429,Zhigansk,89,RU,1561223180,82,66.77,123.37,60.51,7.47
430,Trinidad,99,UY,1561223181,94,-33.52,-56.9,67.17,2.42
431,Arman,100,RU,1561223183,96,59.7,150.17,43.59,2.15
432,Paramonga,42,PE,1561223184,84,-10.68,-77.82,62.13,9.8
433,Auki,13,NG,1561223185,40,12.18,6.51,92.37,6.69
434,Shira,91,RU,1561223186,90,54.49,89.96,52.95,4.88
435,Elko,1,US,1561223184,40,40.83,-115.76,63.0,5.82
436,Lagoa,0,PT,1561223069,56,37.14,-8.45,81.0,10.29
437,Qandala,60,SO,1561223190,58,11.47,49.87,89.85,13.56
438,Rincon,1,US,1561223116,59,32.3,-81.24,93.2,6.93
439,Rorvik,51,NO,1561223192,79,64.86,11.24,53.01,3.0
440,Axim,54,GH,1561223193,86,4.87,-2.24,78.51,12.62
441,Aklavik,5,CA,1561222925,39,68.22,-135.01,66.2,5.82
442,Tucuman,0,PE,1561223195,13,-17.17,-70.89,74.73,7.9
443,Bojnurd,20,IR,1561223196,21,37.47,57.33,82.4,9.17
444,Dorogobuzh,93,RU,1561223198,92,54.91,33.3,66.45,4.97
445,Okha,100,RU,1561223199,95,53.59,142.95,42.33,9.01
446,Marsa Matruh,20,EG,1561223040,78,31.35,27.25,80.6,12.75
447,Vaitape,15,PF,1561223110,80,-16.52,-151.75,78.15,16.35
448,Baherden,0,TM,1561223202,16,38.44,57.43,81.39,6.58
449,Porto Novo,20,BR,1561223203,64,-23.68,-45.44,71.6,3.36
450,Jamay,20,MX,1561223204,50,20.29,-102.71,77.0,1.95
451,Huarmey,99,PE,1561223205,83,-10.07,-78.15,63.39,9.53
452,Beira,20,ES,1561223207,49,43.2,-8.36,71.6,6.93
453,Dingle,85,PH,1561223208,85,11.0,122.67,76.17,2.91
454,Matay,0,EG,1561223209,24,28.42,30.79,88.23,16.37
455,Watsa,97,CD,1561223210,97,3.04,29.53,66.99,2.73
456,Takoradi,100,GH,1561223212,88,4.89,-1.75,76.89,6.58
457,Merrill,1,US,1561223213,41,42.03,-121.6,64.0,6.93
458,Hengyang,100,CN,1561223214,95,26.89,112.6,70.23,6.93
459,Lichuan,100,CN,1561223215,82,30.3,108.94,65.37,3.65
460,Pahalgam,31,IN,1561223216,70,34.03,75.33,57.99,2.17
461,Vetluga,100,RU,1561223217,93,57.85,45.78,67.89,7.45
462,Muroto,100,JP,1561223218,84,33.37,134.14,65.19,3.87
463,Nuuk,75,GL,1561223220,87,64.17,-51.74,42.8,12.75
464,Sawakin,0,SD,1561223221,31,19.1,37.33,83.01,1.48
465,Satna,25,IN,1561223222,59,24.58,80.83,84.81,8.3
466,Izumo,75,JP,1561223223,82,35.37,132.75,64.4,3.36
467,Solnechnyy,88,RU,1561223224,89,50.72,136.64,50.25,3.76
468,Bahadurgarh,5,IN,1561223225,34,28.69,76.93,97.0,5.82
469,Veraval,0,FR,1561223226,43,49.65,0.71,75.0,5.82
470,Yucaipa,90,US,1561223205,64,34.03,-117.04,75.99,4.7
471,Dukat,25,RS,1561223229,71,42.44,22.31,68.43,4.14
472,Namatanai,100,PG,1561223230,86,-3.66,152.44,78.51,10.38
473,Yar-Sale,44,RU,1561223231,71,66.83,70.83,42.51,2.21
474,Nacala,1,MZ,1561223232,97,-14.56,40.69,65.91,4.36
475,Imbituba,0,BR,1561223233,57,-28.24,-48.67,75.2,11.41
476,Taft,59,PH,1561223234,96,11.9,125.42,73.11,0.58
477,Flinders,90,AU,1561223236,93,-34.58,150.85,53.01,6.6
478,Inhambane,20,MZ,1561223237,88,-23.87,35.38,71.6,4.83
479,Weinan,0,CN,1561223238,94,34.5,109.46,71.6,4.47
480,Yuncheng,51,CN,1561223239,74,35.03,111.0,70.59,3.62
481,San Policarpo,62,PH,1561223240,86,12.18,125.51,79.05,5.48
482,Mana,0,RS,1561223241,51,43.52,20.24,86.0,4.7
483,Sabang,4,PH,1561223243,78,13.72,123.58,82.29,4.61
484,Urusha,96,RU,1561223244,95,54.05,122.9,60.33,1.92
485,Conceicao da Barra,71,BR,1561223245,75,-18.59,-39.73,75.45,9.33
486,Kjollefjord,0,NO,1561223246,53,70.95,27.35,50.0,8.05
487,Borogontsy,0,RU,1561223247,86,62.67,131.17,56.37,6.2
488,Barra do Garcas,0,BR,1561223125,29,-15.89,-52.26,89.6,9.17
489,Miandrivazo,66,MG,1561223249,88,-19.53,45.46,65.19,2.04
490,Port Macquarie,89,AU,1561223250,76,-31.43,152.91,50.0,9.17
491,Kamakhyanagar,42,IN,1561223252,86,20.93,85.54,80.31,5.91
492,Macamic,40,CA,1561223253,52,48.75,-79.0,68.0,4.7
493,Qasigiannguit,75,GL,1561223254,93,68.82,-51.19,37.4,11.41
494,Ramhormoz,0,IR,1561223255,8,31.28,49.6,104.0,4.99
495,Soavinandriana,47,MG,1561223256,79,-19.17,46.74,57.81,5.66
496,Corredor,12,BR,1561223257,40,-11.83,-41.77,78.15,10.74
497,Bud,75,NO,1561223259,71,62.91,6.91,57.0,23.04
498,Valley,0,GB,1561223260,56,53.28,-4.56,68.0,12.75
499,Kyrylivka,100,UA,1561223261,67,47.65,37.3,71.85,7.47
500,Tokmak,95,UA,1561223262,74,47.26,35.7,70.23,6.24
501,Jinchang,100,CN,1561223263,66,38.52,102.19,65.19,3.09
502,Yumen,100,CN,1561223264,36,40.29,97.04,75.27,11.34
503,Niquero,0,CU,1561223265,71,20.04,-77.58,83.91,1.72
504,Saint-Joseph,75,FR,1561223267,65,43.56,6.97,80.6,0.81
505,Berezovyy,100,RU,1561223268,96,51.67,135.7,47.55,2.77
506,West Bay,20,GB,1561223269,59,50.71,-2.76,70.0,14.99
507,Torres,17,BR,1561223270,54,-29.34,-49.73,77.97,1.03
508,Presidencia Roque Saenz Pena,0,AR,1561223271,44,-26.79,-60.44,84.27,10.76
509,Murgab,43,TM,1561223273,12,37.5,61.97,91.65,11.3
510,Alghero,0,IT,1561223274,73,40.56,8.32,77.0,5.82
